# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08702 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.829929675923e-02       1.619251906632e+04 
       3.848131288924e-02       1.611752500648e+04 
       3.866485276031e-02       1.604235831954e+04 
       3.884997190265e-02       1.596720044957e+04 
       3.903672858332e-02       1.589236264294e+04 
       3.922518398461e-02       1.581723985490e+04 
       3.941540239695e-02       1.574230364597e+04 
       3.960745142790e-02       1.566725753631e+04 
       3.980140222890e-02       1.559221186125e+04 
       3.999732974147e-02       1.551747495226e+04 
       4.019531296490e-02       1.544233896033e+04 
       4.039543524783e-02       1.536744772905e+04 
       4.059778460613e-02       1.529243962367e+04 
       4.080245407008e-02       1.521705128478e+04 
       4.100954206391e-02       1.514196120585e+04 
       4.121915282171e-02       1.506721118736e+04 
       4.143139684349e-02       1.499189439574e+04 
       4.164639139638e-02       1.491677392428e+04 
       4.186426106628e-02       1.484131461932e+04 
       4.208513836603e-02       1.476618733612e+04 
       4.230916440719e-02       1.469055246413e+04 
       4.253648964345e-02       1.461506214732e+04 
       4.276727469480e-02       1.453957268042e+04 
       4.300169126323e-02       1.446372326819e+04 
       4.323992315206e-02       1.438798604133e+04 
       4.348216740324e-02       1.431186923539e+04 
       4.372863556895e-02       1.423570983834e+04 
       4.397955513668e-02       1.415938703969e+04 
       4.423517113031e-02       1.408282194386e+04 
       4.449574791320e-02       1.400610372242e+04 
       4.476157122416e-02       1.392904046753e+04 
       4.503295048259e-02       1.385198589842e+04 
       4.531022140570e-02       1.377437911173e+04 
       4.559374898866e-02       1.369660785674e+04 
       4.588393090841e-02       1.361862496228e+04 
       4.618120142360e-02       1.354012457069e+04 
       4.648603585772e-02       1.346107380011e+04 
       4.679895577021e-02       1.338207925058e+04 
       4.712053494252e-02       1.330207220678e+04 
       4.745140633308e-02       1.322174449886e+04 
       4.779227018930e-02       1.314127796290e+04 
       4.814390354699e-02       1.305995072540e+04 
       4.850717140050e-02       1.297776207058e+04 
       4.888303989419e-02       1.289460347474e+04 
       4.927259196995e-02       1.281097428510e+04 
       4.967704601303e-02       1.272651865444e+04 
       5.009777817449e-02       1.264099043796e+04 
       5.053634922252e-02       1.255442543933e+04 
       5.099453699606e-02       1.246653782986e+04 
       5.147437581628e-02       1.237776289921e+04 
       5.197820456899e-02       1.228738012788e+04 
       5.250872562096e-02       1.219553203253e+04 
       5.306907729090e-02       1.210114704977e+04 
       5.366292326867e-02       1.200489523636e+04 
       5.429456314977e-02       1.190560142268e+04 
       5.496906905988e-02       1.180411623705e+04 
       5.569245400456e-02       1.169901371627e+04 
       5.647187768379e-02       1.158948056846e+04 
       5.731589419107e-02       1.147514930620e+04 
       5.823474155415e-02       1.135505262881e+04 
       5.924066221515e-02       1.122767115783e+04 
       6.034822055830e-02       1.109053456484e+04 
       6.157453938807e-02       1.094145228800e+04 
       6.293930038554e-02       1.077729881619e+04 
       6.446423813299e-02       1.059290751328e+04 
       6.617172848073e-02       1.038371977105e+04 
       6.808203917046e-02       1.014169346122e+04 
       7.020911710011e-02       9.859801230637e+03 
       7.255569901815e-02       9.531740889984e+03 
       7.510983544689e-02       9.155299941590e+03 
       7.784535711160e-02       8.732191818206e+03 
       8.072699854212e-02       8.272739550402e+03 
       8.371779636877e-02       7.792387992205e+03 
       8.678515599703e-02       7.310054568258e+03 
       8.990369287156e-02       6.844280126951e+03 
       9.305529032511e-02       6.410743355186e+03 
       9.622776080017e-02       6.021005895764e+03 
       9.941321642185e-02       5.681867139370e+03 
       1.026066763522e-01       5.395020059339e+03 
       1.058050434740e-01       5.158169763479e+03 
       1.090064101465e-01       4.965628521693e+03 
       1.122096081052e-01       4.809294927094e+03 
       1.154139243147e-01       4.679839590477e+03 
       1.186189244075e-01       4.567380209221e+03 
       1.218243440114e-01       4.462209921763e+03 
       1.250300222452e-01       4.356189430906e+03 
       1.282358611585e-01       4.242494070493e+03 
       1.314418010463e-01       4.117353671960e+03 
       1.346478054432e-01       3.979143724895e+03 
       1.378538520078e-01       3.828809964369e+03 
       1.410599269875e-01       3.669000833920e+03 
       1.442660218568e-01       3.504150922405e+03 
       1.474721312769e-01       3.339127582732e+03 
       1.506782518555e-01       3.179157444300e+03 
       1.538843813937e-01       3.028555666567e+03 
       1.570905184271e-01       2.890777733056e+03 
       1.602966619477e-01       2.768079416309e+03 
       1.635028112328e-01       2.661403078008e+03 
       1.667089657414e-01       2.570481065299e+03 
       1.699151250502e-01       2.493970261876e+03 
       1.731212888139e-01       2.429756254565e+03 
       1.763274567412e-01       2.375147891001e+03 
       1.795336285788e-01       2.327035174456e+03 
       1.827398041021e-01       2.282717654708e+03 
       1.859459831084e-01       2.239658590745e+03 
       1.891521654127e-01       2.194837584768e+03 
       1.923583508450e-01       2.146906592171e+03 
       1.955645392477e-01       2.094548455008e+03 
       1.987707304747e-01       2.037672116985e+03 
       2.019769243894e-01       1.976873431113e+03 
       2.051831208644e-01       1.913276994012e+03 
       2.083893197803e-01       1.848520316865e+03 
       2.115955210250e-01       1.784238105562e+03 
       2.148017244935e-01       1.721890522656e+03 
       2.180079300869e-01       1.662695168464e+03 
       2.212141377119e-01       1.607687795079e+03 
       2.244203472810e-01       1.557564445777e+03 
       2.276265587113e-01       1.512401582912e+03 
       2.308327719248e-01       1.472390398360e+03 
       2.340389868476e-01       1.437064174266e+03 
       2.372452034101e-01       1.405845707788e+03 
       2.404514215462e-01       1.377979467460e+03 
       2.436576411933e-01       1.352327837986e+03 
       2.468638622922e-01       1.328145558520e+03 
       2.500700847868e-01       1.304328798750e+03 
       2.532763086236e-01       1.280290097754e+03 
       2.564825337520e-01       1.255476641447e+03 
       2.596887601239e-01       1.229630742738e+03 
       2.628949876935e-01       1.202596385589e+03 
       2.661012164173e-01       1.174564080730e+03 
       2.693074462538e-01       1.145757202688e+03 
       2.725136771634e-01       1.116463129922e+03 
       2.757199091087e-01       1.087346837393e+03 
       2.789261420535e-01       1.058701596786e+03 
       2.821323759637e-01       1.031170248002e+03 
       2.853386108065e-01       1.005071288631e+03 
       2.885448465507e-01       9.805974215083e+02 
       2.917510831664e-01       9.579846815702e+02 
       2.949573206250e-01       9.371896115600e+02 
       2.981635588991e-01       9.180441495846e+02 
       3.013697979627e-01       9.003957287934e+02 
       3.045760377906e-01       8.839200554589e+02 
       3.077822783589e-01       8.684095385164e+02 
       3.109885196445e-01       8.535885990539e+02 
       3.141947616253e-01       8.390809190506e+02 
       3.174010042802e-01       8.247641980733e+02 
       3.206072475889e-01       8.104303175045e+02 
       3.238134915318e-01       7.958746805701e+02 
       3.270197360902e-01       7.810732315161e+02 
       3.302259812461e-01       7.660215129346e+02 
       3.334322269821e-01       7.508593245468e+02 
       3.366384732816e-01       7.356734332127e+02 
       3.398447201287e-01       7.206536329183e+02 
       3.430509675077e-01       7.058262613210e+02 
       3.462572154040e-01       6.914181985274e+02 
       3.494634638032e-01       6.775103650518e+02 
       3.526697126915e-01       6.641773648242e+02 
       3.558759620557e-01       6.514715335716e+02 
       3.590822118829e-01       6.394014170179e+02 
       3.622884621608e-01       6.280181052721e+02 
       3.654947128776e-01       6.172017374595e+02 
       3.687009640216e-01       6.069435950323e+02 
       3.719072155817e-01       5.970926281548e+02 
       3.751134675474e-01       5.875974746515e+02 
       3.783197199082e-01       5.782883091717e+02 
       3.815259726541e-01       5.691560118270e+02 
       3.847322257754e-01       5.601246452109e+02 
       3.879384792629e-01       5.511572838785e+02 
       3.911447331074e-01       5.422440310663e+02 
       3.943509873003e-01       5.333437583792e+02 
       3.975572418330e-01       5.245032689386e+02 
       4.007634966973e-01       5.157002847046e+02 
       4.039697518854e-01       5.069944515688e+02 
       4.071760073896e-01       4.984202788885e+02 
       4.103822632024e-01       4.900192877347e+02 
       4.135885193166e-01       4.818478031478e+02 
