# Matter power spectrum P(k) at redshift z=0
# for k=1.23488e-05 to 1.02215 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.885218200782e-02       1.214403904131e+04 
       2.902922860691e-02       1.210226405777e+04 
       2.920638926041e-02       1.206024700439e+04 
       2.938366631424e-02       1.201793778264e+04 
       2.956106216948e-02       1.197534915149e+04 
       2.973857928368e-02       1.193251440083e+04 
       2.991622017222e-02       1.188943624287e+04 
       3.009398740972e-02       1.184609327665e+04 
       3.027188363145e-02       1.180254222087e+04 
       3.044991153485e-02       1.175877467670e+04 
       3.062807388103e-02       1.171476028887e+04 
       3.080637349637e-02       1.167053584994e+04 
       3.098481327415e-02       1.162611470185e+04 
       3.116339617618e-02       1.158154059383e+04 
       3.134212523458e-02       1.153677880530e+04 
       3.152100355354e-02       1.149188865418e+04 
       3.170003431114e-02       1.144667183046e+04 
       3.187922076127e-02       1.140139601839e+04 
       3.205856623556e-02       1.135596686426e+04 
       3.223807414541e-02       1.131041345219e+04 
       3.241774798406e-02       1.126473793241e+04 
       3.259759132871e-02       1.121887302932e+04 
       3.277760784278e-02       1.117285295676e+04 
       3.295780127816e-02       1.112674216767e+04 
       3.313817547758e-02       1.108057854788e+04 
       3.331873437702e-02       1.103428183511e+04 
       3.349948200826e-02       1.098787498984e+04 
       3.368042250143e-02       1.094138128969e+04 
       3.386156008773e-02       1.089481079481e+04 
       3.404289910217e-02       1.084817104110e+04 
       3.422444398647e-02       1.080144722488e+04 
       3.440619929197e-02       1.075467087461e+04 
       3.458816968270e-02       1.070784450239e+04 
       3.477035993858e-02       1.066096609587e+04 
       3.495277495865e-02       1.061400880745e+04 
       3.513541976444e-02       1.056704794030e+04 
       3.531829950352e-02       1.052000524874e+04 
       3.550141945309e-02       1.047300647195e+04 
       3.568478502371e-02       1.042591376453e+04 
       3.586840176324e-02       1.037885015939e+04 
       3.605227536078e-02       1.033177287933e+04 
       3.623641165090e-02       1.028469069590e+04 
       3.642081661793e-02       1.023752755823e+04 
       3.660549640040e-02       1.019041857860e+04 
       3.679045729574e-02       1.014331176241e+04 
       3.697570576500e-02       1.009620383303e+04 
       3.716124843792e-02       1.004917978127e+04 
       3.734709211803e-02       1.000207733059e+04 
       3.753324378804e-02       9.955060907741e+03 
       3.771971061542e-02       9.908119560212e+03 
       3.790649995814e-02       9.861111875114e+03 
       3.809361937073e-02       9.814165657952e+03 
       3.828107661046e-02       9.767295909645e+03 
       3.846887964384e-02       9.720431190270e+03 
       3.865703665339e-02       9.673663936477e+03 
       3.884555604457e-02       9.626866732003e+03 
       3.903444645312e-02       9.580220056459e+03 
       3.922371675265e-02       9.533575871379e+03 
       3.941337606245e-02       9.487031155459e+03 
       3.960343375578e-02       9.440545936536e+03 
       3.979389946839e-02       9.394119136803e+03 
       3.998478310741e-02       9.347745966443e+03 
       4.017609486066e-02       9.301504914708e+03 
       4.036784520631e-02       9.255355385987e+03 
       4.056004492297e-02       9.209211407181e+03 
       4.075270510024e-02       9.163204043199e+03 
       4.094583714966e-02       9.117332775659e+03 
       4.113945281619e-02       9.071428942673e+03 
       4.133356419023e-02       9.025691460076e+03 
       4.152818372005e-02       8.980072013022e+03 
       4.172332422494e-02       8.934542258550e+03 
       4.191899890886e-02       8.889095458772e+03 
       4.211522137472e-02       8.843718746508e+03 
       4.231200563939e-02       8.798532252309e+03 
       4.250936614934e-02       8.753396706841e+03 
       4.270731779704e-02       8.708427974697e+03 
       4.290587593820e-02       8.663477862403e+03 
       4.310505640973e-02       8.618750373195e+03 
       4.330487554868e-02       8.574112343285e+03 
       4.350535021206e-02       8.529540423035e+03 
       4.370649779763e-02       8.485147113655e+03 
       4.390833626580e-02       8.440834783046e+03 
       4.411088416254e-02       8.396673527746e+03 
       4.431416064355e-02       8.352580288530e+03 
       4.451818549963e-02       8.308678874308e+03 
       4.472297918341e-02       8.264862730512e+03 
       4.492856283742e-02       8.221202990427e+03 
       4.513495832377e-02       8.177636379225e+03 
       4.534218825532e-02       8.134280725342e+03 
       4.555027602858e-02       8.090984308745e+03 
       4.575924585849e-02       8.047900076179e+03 
       4.596912281503e-02       8.004842535457e+03 
       4.617993286195e-02       7.961978443774e+03 
       4.639170289770e-02       7.919248773367e+03 
       4.660446079870e-02       7.876658768365e+03 
       4.681823546513e-02       7.834150960648e+03 
       4.703305686945e-02       7.791834224298e+03 
       4.724895610774e-02       7.749661525512e+03 
       4.746596545419e-02       7.707623268341e+03 
       4.768411841892e-02       7.665675043794e+03 
       4.790344980929e-02       7.623882351839e+03 
       4.812399579516e-02       7.582249944063e+03 
       4.834579397815e-02       7.540719397671e+03 
       4.856888346541e-02       7.499355455866e+03 
       4.879330494818e-02       7.458142515921e+03 
       4.901910078545e-02       7.417026444265e+03 
       4.924631509321e-02       7.376038521787e+03 
       4.947499383973e-02       7.335219420409e+03 
       4.970518494730e-02       7.294521111489e+03 
       4.993693840107e-02       7.253938197156e+03 
       5.017030636543e-02       7.213539048860e+03 
       5.040534330872e-02       7.173229383790e+03 
       5.064210613693e-02       7.133032606695e+03 
       5.088065433708e-02       7.092990876302e+03 
       5.112105013136e-02       7.053072650631e+03 
       5.136335864268e-02       7.013321921184e+03 
       5.160764807302e-02       6.973640662225e+03 
       5.185398989541e-02       6.934062434717e+03 
       5.210245906111e-02       6.894698686324e+03 
       5.235313422322e-02       6.855353574087e+03 
       5.260609797844e-02       6.816168053049e+03 
       5.286143712867e-02       6.777100512710e+03 
       5.311924296449e-02       6.738151206860e+03 
       5.337961157263e-02       6.699277075401e+03 
       5.364264417002e-02       6.660561707671e+03 
       5.390844746706e-02       6.621928396025e+03 
       5.417713406332e-02       6.583391505431e+03 
       5.444882287906e-02       6.544942364503e+03 
       5.472363962659e-02       6.506617623239e+03 
       5.500171732583e-02       6.468392360248e+03 
       5.528319686911e-02       6.430189657503e+03 
       5.556822764094e-02       6.392120099683e+03 
       5.585696819910e-02       6.354099853122e+03 
       5.614958702455e-02       6.316185763307e+03 
